,file,local_path,abstract
55,Dana_Movshovitz_Attias__Yair_Movshovitz_Attias__Peter_Steenkiste_and_Christos_Faloutsos__2013__Analy,2013/Dana_Movshovitz_Attias__Yair_Movshovitz_Attias__Peter_Steenkiste_and_Christos_Faloutsos__2013__Analy.pdf,"Question answering (Q&A) communities have been gaining popularity in the past few years. The success of such sites depends mainly on the contribution of a small number of expert users who provide a significant portion of the helpful answers, and so identifying users that have the potential of becoming strong contributers is an important task for owners of such communities. We present a study of the popular Q&A website Stack- Overflow (SO), in which users ask and answer questions about software development, algorithms, math and other technical topics. The dataset includes information on 3.5 million questions and 6.9 million answers created by 1.3 million users in the years 2008-2012. Participation in activities on the site (such as asking and answering questions) earns users reputation, which is an indicator of the value of that user to the site. We describe an analysis of the SO reputation system, and the participation patterns of high and low reputation users. The contributions of very high reputation users to the site indicate that they are the primary source of answers, and especially of high quality answers. Interestingly, we find that while the majority of questions on the site are asked by low reputation users, on average a high reputation user asks more questions than a user with low reputation. We consider a number of graph analysis methods for detecting influential and anomalous users in the underlying user interaction network, and find they are effective in detecting extreme behaviors such as those of spam users. Lastly, we show an application of our analysis: by considering user contributions over first months of activity on the site, we predict who will become influential long-term contributors."
56,Clayton_Stanley__Michael_D__Byrne__2013__Predicting_Tags_for_StackOver_ow_Posts_In_12th_Internationa,2013/Clayton_Stanley__Michael_D__Byrne__2013__Predicting_Tags_for_StackOver_ow_Posts_In_12th_Internationa.pdf,"Hashtags created by authors of online content provide a view of a user’s goals and interests. Predicting users’ interests can lead to improved, more user centered human-computer systems. Large-scale behavioral datasets such as Twitter, Facebook, LinkedIn, StackOverflow, and Yelp can be mined and explored to study these hashtags and how they relate to users’ interests. We explored the StackOverflow dataset, and developed an ACT-R inspired Bayesian probabilistic model that can predict the hashtags used by the author of the post. The model is 65% accurate when tasked to predict one tag per post on average. This is achieved by choosing the tag that has the highest log odds of being correct, given the tag’s prior log odds of occurrence and adjusting for the log likelihood ratio of the words in the post being associated with the tag. The model is a successful case showing that ACT-R’s declarative memory retrieval equations scale, and are relevant to task domains that require large-scale knowledge stores."
57,Shaowei_Wang__David_Lo_and_Lingxiao_Jiang__2013__An_Empirical_Study_on_Developer_Interactions_in_Sta,2013/Shaowei_Wang__David_Lo_and_Lingxiao_Jiang__2013__An_Empirical_Study_on_Developer_Interactions_in_Sta.pdf,"StackOverflow provides a popular platform where developers post and answer questions. Recently, Treude et al. manu- ally label 385 questions in StackOverflow and group them into 10 categories based on their contents. They also ana- lyze how tags are used in StackOverflow. In this study, we extend their work to obtain a deeper understanding on how developers interact with one another on such a question and answer web site. First, we analyze the distributions of de- velopers who ask and answer questions. We also investigate if there is a segregation of the StackOverflow community in- to questioners and answerers. We also perform automated text mining to find the various kinds of topics asked by de- velopers. We use Latent Dirichlet Allocation (LDA), a well known topic modeling approach, to analyze the contents of tens of thousands of questions and answers, and produce five topics. Our topic modeling strategy provides an alternative perspective different from that of Treude et al. for catego- rizing StackOverflow questions. Each question can now be categorized into several topics with different probabilities, and the learned topic model could automatically assign a new question to several categories with varying probabili- ties. Last but not least, we show the distributions of ques- tions and developers belonging to various topics generated by LDA. Categories and Subject Descriptors D.2.9 [Software Engineering]: Management; J.4 [Social And Behavioral Sciences]: Sociology General Terms Management; Human Factors"
58,Dennis_Schenk_and_Mircea_Lungu__2013__Geo_Locating_the_Knowledge_Transfer_in_Stack_Overflow__In_Inte,2013/Dennis_Schenk_and_Mircea_Lungu__2013__Geo_Locating_the_Knowledge_Transfer_in_Stack_Overflow__In_Inte.pdf,"Stack Overflow can be seen as an information market for software engineering knowledge in which the goods that are exchanged are answers to questions and the rewards are score points and badges that contribute to a users reputation. By analyzing the transactions in Stack Overflow we can get a glimpse of the way in which the different geographical regions in the world contribute to the knowledge market represented by the website. In this paper we aggregate the knowledge transfer from the level of the users to the level of geographical regions and learn that Europe and North America are the principal and virtually equal contributors; Asia comes as a distant third, mainly represented by India; and Oceania contributes less than Asia but more than South America and Africa together."
59,Bogdan_Vasilescu__Vladimir_Filkov_and_Alexander_Serebrenik__2013__StackOverflow_and_GitHub__Associat,2013/Bogdan_Vasilescu__Vladimir_Filkov_and_Alexander_Serebrenik__2013__StackOverflow_and_GitHub__Associat.pdf,
60,Bogdan_Vasilescu__Alexander_Serebrenik__Mark_G__J__van_den_Brand__2013__The_Babel_of_software_develo,2013/Bogdan_Vasilescu__Alexander_Serebrenik__Mark_G__J__van_den_Brand__2013__The_Babel_of_software_develo.pdf,
61,Ashton_Anderson__Dan_Huttenlocher__Jon_Kleinberg__and_Jure_Leskovec__2013__Steering_User_Behavior_Wi,2013/Ashton_Anderson__Dan_Huttenlocher__Jon_Kleinberg__and_Jure_Leskovec__2013__Steering_User_Behavior_Wi.pdf,"An increasingly common feature of online communities and social media sites is a mechanism for rewarding user achievements based on a system of badges. Badges are given to users for particular contributions to a site, such as performing a certain number of ac- tions of a given type. They have been employed in many domains, including news sites like the Huffington Post, educational sites like Khan Academy, and knowledge-creation sites like Wikipedia and Stack Overflow. At the most basic level, badges serve as a sum- mary of a user’s key accomplishments; however, experience with these sites also shows that users will put in non-trivial amounts of work to achieve particular badges, and as such, badges can act as powerful incentives. Thus far, however, the incentive structures created by badges have not been well understood, making it diffi- cult to deploy badges with an eye toward the incentives they are likely to create. In this paper, we study how badges can influence and steer user behavior on a site—leading both to increased participation and to changes in the mix of activities a user pursues on the site. We intro- duce a formal model for reasoning about user behavior in the pres- ence of badges, and in particular for analyzing the ways in which badges can steer users to change their behavior. To evaluate the main predictions of our model, we study the use of badges and their effects on the widely used Stack Overflow question-answering site, and find evidence that their badges steer behavior in ways closely consistent with the predictions of our model. Finally, we inves- tigate the problem of how to optimally place badges in order to induce particular user behaviors. Several robust design principles emerge from our framework that could potentially aid in the design of incentives for a broad range of sites. Categories and Subject Descriptors: J.4 [Social and Behavioral Sciences]: Economics. General Terms: Algorithms, Economics, Theory."
62,Miltiadis_Allamanis_and_Charles_Sutton__2013__Why__When_and_What__Analyzing_Stack_Overflow_Questions,2013/Miltiadis_Allamanis_and_Charles_Sutton__2013__Why__When_and_What__Analyzing_Stack_Overflow_Questions.pdf,"Questions from Stack Overflow provide a unique opportunity to gain insight into what programming concepts are the most confusing. We present a topic modeling analysis that combines question concepts, types, and code. Using topic modeling, we are able to associate programming concepts and identifiers (like the String class) with particular types of questions, such as, “how to perform encoding”."
63,Muhammad_Asaduzzaman__Ahmed_Mashiyat__Chanchal_Roy_and_Kevin_Schneider__2013__Answering_Questions_Ab,2013/Muhammad_Asaduzzaman__Ahmed_Mashiyat__Chanchal_Roy_and_Kevin_Schneider__2013__Answering_Questions_Ab.pdf,"Community-based question answering services ac- cumulate large volumes of knowledge through the voluntary services of people across the globe. Stack Overflow is an ex- ample of such a service that targets developers and software engineers. In general, questions in Stack Overflow are answered in a very short time. However, we found that the number of unanswered questions has increased significantly in the past two years. Understanding why questions remain unanswered can help information seekers improve the quality of their questions, increase their chances of getting answers, and better decide when to use Stack Overflow services. In this paper, we mine data on unanswered questions from Stack Overflow. We then conduct a qualitative study to categorize unanswered questions, which reveals characteristics that would be difficult to find otherwise. Finally, we conduct an experiment to determine whether we can predict how long a question will remain unanswered in Stack Overflow."
64,Carlos_Gomez__Brendan_Cleary_and_Leif_Singer__2013__A_Study_of_Innovation_Diffusion_Through_Link_Sha,2013/Carlos_Gomez__Brendan_Cleary_and_Leif_Singer__2013__A_Study_of_Innovation_Diffusion_Through_Link_Sha.pdf,"It is poorly understood how developers discover and adopt software development innovations such as tools, libraries, frameworks, or web sites that support developers. Yet, being aware of and choosing appropriate tools and components can have a significant impact on the outcome of a software project. In our study, we investigate link sharing on Stack Overflow to gain insights into how software developers discover and disseminate innovations. We find that link sharing is a significant phenomenon on Stack Overflow, that Stack Overflow is an important resource for software development innovation dissemination and that its part of a larger interconnected network of online resources used and referenced by developers. This knowledge can guide researchers and practitioners who build tools and services that support software developers in the exploration, discovery, and adoption of software development innovations."
65,Scott_Grant_and_Buddy_Betts__2013__Encouraging_User_Behaviour_With_Achievements__An_Empirical_Study_,2013/Scott_Grant_and_Buddy_Betts__2013__Encouraging_User_Behaviour_With_Achievements__An_Empirical_Study_.pdf,"Stack Overflow, a question and answer website, uses a reward system called badges to publicly reward users for their contributions to the community. Badges are used alongside a reputation score to reward positive behaviour by relating a user’s site identity with their perceived expertise and respect in the community. A greater number of badges associated with a user profile in some way indicates a higher level of authority, leading to a natural incentive for users to attempt to achieve as many badges as possible. In this study, we examine the publicly available logs for Stack Overflow to examine three of these badges in detail. We look at the effect of one badge in context on an individual user level and at the global scope of three related badges across all users by mining user behaviour around the time that the badge is awarded. This analysis supports the claim that badges can be used to influence user behaviour by demonstrating one instance of an increase in user activity related to a badge immediately before it is awarded when compared to the period afterwards."
66,Patrick_Morrison_and_Emerson_Murphy_Hill__2013__Is_Programming_Knowledge_Related_To_Age____An_Explor,2013/Patrick_Morrison_and_Emerson_Murphy_Hill__2013__Is_Programming_Knowledge_Related_To_Age____An_Explor.pdf," Becoming an expert at programming is thought to take an estimated 10,000 hours of deliberate practice1. But what happens after that? Do programming experts continue to develop, do they plateau, or is there a decline at some point? A diversity of opinion exists on this matter, but many seem to think that aging brings a decline in adoption and absorption of new programming knowledge. We develop several research questions on this theme, and draw on data from StackOverflow to address these questions. The goal of this research is to support career planning and staff development for programmers by identifying age-related trends in StackOverflow data. We observe that programmer reputation scores increase relative to age well into the 50’s, that programmers in their 30’s tend to focus on fewer areas relative to those younger or older in age, and that there is not a strong correlation between age and scores in specific knowledge areas."
67,Siddharth_Subramanian_and_Reid_Holmes__2013__Making_Sense_of_Online_Code_Snippets_In_10th_Working_Co,2013/Siddharth_Subramanian_and_Reid_Holmes__2013__Making_Sense_of_Online_Code_Snippets_In_10th_Working_Co.pdf,"Stack Overflow contains a large number of high- quality source code snippets. The quality of these snippets has been verified by users marking them as solving a specific problem. Stack Overflow treats source code snippets as plain text and searches surface snippets as they would any other text. Unfortunately, plain text does not capture the structural qualities of these snippets; for example, snippets frequently refer to specific API (e.g., Android), but by treating the snippets as text, linkage to the Android API is not always apparent. We perform snippet analysis to extract structural information from short plain-text snippets that are often found in Stack Overflow. This analysis is able to identify 253,137 method calls and type references from 21,250 Stack Overflow code snippets. We show how identifying these structural relationships from snippets could perform better than lexical search over code blocks in practice."
68,Wei_Wang_and_Michael_Godfrey__2013__Detecting_API_Usage_Obstacles__A_Study_of_iOS_and_Android_Develo,2013/Wei_Wang_and_Michael_Godfrey__2013__Detecting_API_Usage_Obstacles__A_Study_of_iOS_and_Android_Develo.pdf,"Software frameworks provide sets of generic func- tionalities that can be later customized for a specific task. When developers invoke API methods in a framework, they often encounter obstacles in finding the correct usage of the API, let alone to employ best practices. Previous research addresses this line of questions by mining API usage patterns to induce API usage templates, by conducting and compiling interviews of developers, and by inferring correlations among APIs. In this paper, we analyze API-related posts regarding iOS and Android development from a Q&A website, stackoverflow.com. Assuming that API-related posts are primarily about API usage obstacles, we find several iOS and Android API classes that appear to be particularly likely to challenge developers, even after we factor out API usage hotspots, inferred by modelling API usage of open source iOS and Android applications. For each API with usage obstacles, we further apply a topic mining tool to posts that are tagged with the API, and we discover several repetitive scenarios in which API usage obstacles occur. We consider our work as a stepping stone towards understanding API usage challenges based on forum-based input from a multitude of developers, input that is prohibitively expensive to collect through interviews. Our method helps to motivate future research in API usage, and can allow designers of platforms — such as iOS and Android — to better understand the problems developers have in using their platforms, and to make corresponding improvements."
69,Yla_Tausczik_and_James_Pennebaker__2012__Participation_in_an_online_mathematics_community__Different,2012/Yla_Tausczik_and_James_Pennebaker__2012__Participation_in_an_online_mathematics_community__Different.pdf,"Why do people contribute content to communities of question- answering, such as Yahoo! Answers? We investigated this issue on MathOverflow, a site dedicated to research-level mathematics, in which users ask and answer questions. Math- Overflow is the first in a growing number of specialized Q&A sites using the Stack Exchange platform for scientific collab- oration. In this study we combine responses to a survey with collected data on posting behavior on the site. User behavior suggests that building reputation is an important incentive, even though users do not report this in the survey. Level of expertise affects users’ reported motivation to help others, but does not affect the importance of reputation building. We discuss the implications for the design of communities to target and encourage more contributions. Author"
70,Leman_Akoglu__Duen_Horng_Chau__U__Kang__Danai_Koutra_and_Christos_Faloutsos__2012__OPAvion__mining_a,2012/Leman_Akoglu__Duen_Horng_Chau__U__Kang__Danai_Koutra_and_Christos_Faloutsos__2012__OPAvion__mining_a.pdf,
71,Ashton_Anderson__Daniel_Huttenlocher__Jon_Kleinberg_and_Jure_Leskovec__2012__Discovering_value_from_,2012/Ashton_Anderson__Daniel_Huttenlocher__Jon_Kleinberg_and_Jure_Leskovec__2012__Discovering_value_from_.pdf,"Question answering (Q&A) websites are now large repositories of valuable knowledge. While most Q&A sites were initially aimed at providing useful answers to the question asker, there has been a marked shift towards question answering as a community-driven knowledge creation process whose end product can be of enduring value to a broad audience. As part of this shift, specific expertise and deep knowledge of the subject at hand have become increas- ingly important, and many Q&A sites employ voting and reputation mechanisms as centerpieces of their design to help users identify the trustworthiness and accuracy of the content. To better understand this shift in focus from one-off answers to a group knowledge-creation process, we consider a question together with its entire set of corresponding answers as our fundamental unit of analysis, in contrast with the focus on individual question- answer pairs that characterized previous work. Our investigation considers the dynamics of the community activity that shapes the set of answers, both how answers and voters arrive over time and how this influences the eventual outcome. For example, we observe significant assortativity in the reputations of co-answerers, relation- ships between reputation and answer speed, and that the probabil- ity of an answer being chosen as the best one strongly depends on temporal characteristics of answer arrivals. We then show that our understanding of such properties is naturally applicable to predict- ing several important quantities, including the long-term value of the question and its answers, as well as whether a question requires a better answer. Finally, we discuss the implications of these results for the design of Q&A sites. Categories and Subject Descriptors: H.3.4 [Information Stor- age and Retrieval]: Systems and Software. General Terms: Experimentation, Human Factors."
72,Alberto_Bacchelli__Luca_Ponzanelli_and_Michele_Lanza__2012__Harnessing_Stack_Overflow_for_the_IDE__I,2012/Alberto_Bacchelli__Luca_Ponzanelli_and_Michele_Lanza__2012__Harnessing_Stack_Overflow_for_the_IDE__I.pdf,"Developers often consult online tutorials and mes- sage boards to find solutions to their programming issues. Among the many online resources, Question & Answer websites are gaining popularity. This is no wonder if we consider a case like Stack Overflow, where more than 92% questions on expert topics are answered in a median time of 11 minutes. This new resource has scarcely been acknowledged by any Integrated Development Environment (IDE): Even though developers spend a large part of their working time in IDEs, and the usage of Q&A services has dramatically increased, developers can only use such resources using external applications. We introduce Seahawk, an Eclipse plugin to integrate Stack Overflow crowd knowledge in the IDE. It allows developers to seamlessly access Stack Overflow data, thus obtaining answers without switching the context. We present our preliminary work on Seahawk: It allows users to (1) retrieve Q&A from Stack Overflow, (2) link relevant discussions to any source code in Eclipse, and (3) attach explanative comments to the links."
73,Seyed_Mehdi_Nasehi__Jonathan_Sillito__Frank_Maurer_and_Chris_Burns__2012__What_Makes_a_Good_Code_Exa,2012/Seyed_Mehdi_Nasehi__Jonathan_Sillito__Frank_Maurer_and_Chris_Burns__2012__What_Makes_a_Good_Code_Exa.pdf," Programmers learning how to use an API or a programming language often rely on code examples to support their learning activities. However, what makes for an effective code example remains an open question. Finding the characteristics of the effective examples is essential in improving the appropriateness of these learning aids. To help answer this question we have conducted a qualitative analysis of the questions and answers posted to a programming Q&A web site called StackOverflow. On StackOverflow answers can be voted on, indicating which answers were found helpful by users of the site. By analyzing these well-received answers we identified characteristics of effective examples. We found that the explanations accompanying examples are as important as the examples themselves. Our findings have implications for the way the API documentation and example set should be developed and evolved as well as the design of the tools assisting the development of these materials."
74,Leif_Singer__Fernando_Figueira_Filho__Brendan_Cleary__Christoph_Treude__Margaret_Anne_Storey__and_Ku,2012/Leif_Singer__Fernando_Figueira_Filho__Brendan_Cleary__Christoph_Treude__Margaret_Anne_Storey__and_Ku.pdf,"The multitude of social media channels that programmers can use to participate in software development has given rise to online developer profiles that aggregate activity across many services. Studying members of such developer profile ag- gregators, we found an ecosystem that revolves around the social programmer. Developers are assessing each other to evaluate whether other developers are interesting, worth fol- lowing, or worth collaborating with. They are self-conscious about being assessed, and thus manage their public images. They value passion for software development, new technolo- gies, and learning. Some recruiters participate in the ecosys- tem and use it to find candidates for hiring; other recruiters struggle with the interpretation of signals and issues of trust. This mutual assessment is changing how software engineers collaborate and how they advance their skills. Author"
75,Christoph_Treude__Fernando_Figueira_Filho__Brendan_Cleary__and_Margaret_Anne_Storey__2012__Programmi,2012/Christoph_Treude__Fernando_Figueira_Filho__Brendan_Cleary__and_Margaret_Anne_Storey__2012__Programmi.pdf,"Social media has changed how software developers collab- orate, how they coordinate their work, and where they find information. Social media sites, such as the Question and An- swer (Q&A) portal Stack Overflow, fill archives with millions of entries that contribute to what we know about software de- velopment, covering a wide range of topics. For today’s soft- ware developers, reusable code snippets, introductory usage examples, and pertinent libraries are often just a web search away. In this position paper, we discuss the opportunities and challenges for software developers that rely on web content curated by the crowd, and we envision the future of an indus- try where individual developers benefit from and contribute to a body of knowledge maintained by the crowd using social media. Author"
76,Bogdan_Vasilescu__Andrea_Capiluppi_and_Alexander_Serebrenik__2012__Gender__representation_and_online,2012/Bogdan_Vasilescu__Andrea_Capiluppi_and_Alexander_Serebrenik__2012__Gender__representation_and_online.pdf,
77,Jakob_Vo___2012__Linking_Folksonomies_to_Knowledge_Organization_Systems__In_6th_Conference_on_Metada,2012/Jakob_Vo___2012__Linking_Folksonomies_to_Knowledge_Organization_Systems__In_6th_Conference_on_Metada.pdf, This paper demonstrates enrichment of set-model folk- sonomies with hierarchical links and mappings to other knowledge organization systems. The process is exemplified with social tagging practice in Wikipedia and in Stack Exchange. The extended folk- sonomies are created by crowdsourcing tag names and descriptions to translate them to linked data in SKOS.
78,Alexey_Zagalsky__Ohad_Barzilay__and_Amiram_Yehudai__2012__Example_overflow__Using_social_media_for_c,2012/Alexey_Zagalsky__Ohad_Barzilay__and_Amiram_Yehudai__2012__Example_overflow__Using_social_media_for_c.pdf,"Modern Q&A websites, such as Stack Overflow, use social media to provide concise answers, and offer rich technical context with quality assessment capabilities. Although some of the answers may include executable code snippets, they are entangled in free text and are not easily extracted. Q&A websites are not designed for such direct code reuse. We present Example Overflow, a code search and recommendation tool which brings together social media and code recommendation systems. Example Overflow enables crowd-sourced software development by utilizing both textual and social information, which accompany source code on the Web. Its browsing mechanism minimizes the context switch associated with other code search tools. In this paper we describe the development of the tool, provide preliminary evaluation, and discuss its contribution to an example centric programming paradigm."
79,Yla_Tausczik_and_James_Pennebaker__2011__Predicting_the_Perceived_Quality_of_Online_Mathematics_Cont,2011/Yla_Tausczik_and_James_Pennebaker__2011__Predicting_the_Perceived_Quality_of_Online_Mathematics_Cont.pdf,"There are two perspectives on the role of reputation in col- laborative online projects such as Wikipedia or Yahoo! An- swers. One, user reputation should be minimized in order to increase the number of contributions from a wide user base. Two, user reputation should be used as a heuristic to identify and promote high quality contributions. The current study examined how offline and online reputations of contributors affect perceived quality in MathOverflow, an online commu- nity with 3470 active users. On MathOverflow, users post high-level mathematics questions and answers. Community members also rate the quality of the questions and answers. This study is unique in being able to measure offline rep- utation of users. Both offline and online reputations were consistently and independently related to the perceived qual- ity of authors submissions, and there was only a moderate correlation between established offline and newly developed online reputation. Author"
80,Zainab_Zolaktaf__Fatemeh_Riahi__Mahdi_Shafiei__Evangelos_Milios__2011__Modeling_Community_Question_A,2011/Zainab_Zolaktaf__Fatemeh_Riahi__Mahdi_Shafiei__Evangelos_Milios__2011__Modeling_Community_Question_A.pdf,Community Question Answering (CQA) services contain large archives of pre- viously asked questions and their answers. We present a statistical topic model for modeling Question-Answering archives. The model explicitly captures rela- tionships between questions and their answers by modeling topical dependencies. We show that the model achieves improved performance in retrieving the correct answer for a query question compared to the LDA model. Our model can also be used for automatic tagging of questions and answers. This is useful for providing topical browsing capabilities for legacy Q&A archives.
81,Lena_Mamykina__Bella_Manoim__Manas_Mittal__George_Hripcsak__and_Bj_rn_Hartmann__2011__Design_lessons,2011/Lena_Mamykina__Bella_Manoim__Manas_Mittal__George_Hripcsak__and_Bj_rn_Hartmann__2011__Design_lessons.pdf,"This paper analyzes a Question & Answer site for programmers, Stack Overflow, that dramatically improves on the utility and performance of Q&A systems for technical domains. Over 92% of Stack Overflow questions about expert topics are answered — in a median time of 11 minutes. Using a mixed methods approach that combines statistical data analysis with user interviews, we seek to understand this success. We argue that it is not primarily due to an a priori superior technical design, but also to the high visibility and daily involvement of the design team within the community they serve. This model of continued community leadership presents challenges to both CSCW systems research as well as to attempts to apply the Stack Overflow model to other specialized knowledge domains. Author"
82,Zainab_Zolaktaf__Fatemeh_Riahi__Mahdi_Sha_ei__and_Evangelos_Milios__Modeling_community_question_answ,2011/Zainab_Zolaktaf__Fatemeh_Riahi__Mahdi_Sha_ei__and_Evangelos_Milios__Modeling_community_question_answ.pdf,Community Question Answering (CQA) services contain large archives of pre- viously asked questions and their answers. We present a statistical topic model for modeling Question-Answering archives. The model explicitly captures rela- tionships between questions and their answers by modeling topical dependencies. We show that the model achieves improved performance in retrieving the correct answer for a query question compared to the LDA model. Our model can also be used for automatic tagging of questions and answers. This is useful for providing topical browsing capabilities for legacy Q&A archives.
83,Matthew_J__H__Rattigan_and_David_Jensen__2010__Leveraging_D_Separation_for_Relational_Data_Sets__In_,2010/Matthew_J__H__Rattigan_and_David_Jensen__2010__Leveraging_D_Separation_for_Relational_Data_Sets__In_.pdf,"Testing for marginal and conditional indepen- dence is a common task in machine learning and knowledge discovery applications. Prior work has demonstrated that conventional independence tests suffer from dramatically in- creased rates of Type I errors when naively applied to relational data. We use graphical models to specify the conditions under which these errors occur, and use those models to devise novel and accurate conditional independence tests."
84,Erik_Wilde_Feeds_as_Query_Result_Serializations_In_arXiv_0911__2193__,2009/Erik_Wilde_Feeds_as_Query_Result_Serializations_In_arXiv_0911__2193__.pdf,"Many Web-based data sources and services are available as feeds, a model that provides consumers with a loosely coupled way of interacting with providers. The current feed model is limited in its capabilities, however. Though it is simple to implement and scales well, it cannot be transferred to a wider range of application scenarios. This paper conceptualizes feeds as a way to serialize query results, describes the current hardcoded query semantics of such a perspective, and surveys the ways in which extensions of this hardcoded model have been proposed or implemented. Our generalized view of feeds as query result serializations has implications for the applicability of feeds as a generic Web service for any collection that is providing access to individual information items. As one interesting and compelling class of applications, we describe a simple way in which a query-based approach to feeds can be used to support location-based services. Contents"
